year,month,day,tmax,tmin,precip,snow,snowcover
2017,2,20,62,33,-999,0,0
2017,2,21,70,33,0,0,0
2017,2,22,61,40,0,0,0
2017,2,23,51,21,0.41,5.8,5
2017,2,24,31,14,0.1,3,6
2017,2,25,35,10,-999,-999,4
2017,2,26,41,11,0,0,2
2017,2,27,49,14,0,0,1
2017,2,28,48,27,0,0,-999
2017,2,29,-998,-998,-998,-998,-998
2017,3,1,45,21,0,0,-999
2017,3,2,53,23,0,0,-999
2017,3,3,64,31,0,0,0
2017,3,4,70,33,0,0,0
2017,3,5,64,40,0,0,0
2017,3,6,57,29,-999,-999,0
2017,3,7,51,25,0,0,0
2017,3,8,66,36,0,0,0
2017,3,9,71,41,0,0,0
2017,3,10,62,23,0,0,0
2017,3,11,56,37,-999,0,0
2017,3,12,62,32,0,0,0
2017,3,13,58,26,0,0,0
2017,3,14,72,42,0,0,0
2017,3,15,78,38,0,0,0
2017,3,16,77,50,0,0,0
2017,3,17,70,41,0,0,0
2017,3,18,80,36,0,0,0
2017,3,19,78,53,0,0,0
2017,3,20,77,52,0,0,0
2017,3,21,69,36,-999,0,0
2017,3,22,69,33,0,0,0
2017,3,23,75,43,0,0,0
2017,3,24,62,37,0.1,0,0
2017,3,25,63,30,0,0,0
2017,3,26,62,39,0.21,0,0
2017,3,27,61,32,0,0,0
2017,3,28,58,41,0.57,0,0
2017,3,29,58,35,0.21,0,0
2017,3,30,66,32,0,0,0
2017,3,31,60,35,0.36,-999,0
2017,4,1,41,31,0.32,0.1,0
2017,4,2,63,30,0,0,0
2017,4,3,58,29,0.01,0,0
2017,4,4,54,30,0.91,8.2,5
2017,4,5,55,21,0.34,3.3,2
2017,4,6,65,33,0,0,0
2017,4,7,75,39,0,0,0
2017,4,8,74,39,0,0,0
2017,4,9,70,39,0,0,0
2017,4,10,57,27,0,0,0
2017,4,11,67,29,0,0,0
2017,4,12,73,36,0,0,0
2017,4,13,77,37,0,0,0
2017,4,14,77,41,0,0,0
2017,4,15,73,39,0,0,0
2017,4,16,70,36,0,0,0
2017,4,17,76,36,0,0,0
2017,4,18,77,42,0,0,0
2017,4,19,72,43,0,0,0
2017,4,20,62,35,0.03,0,0
2017,4,21,52,39,0.36,0,0
2017,4,22,57,36,0.06,0,0
2017,4,23,74,34,0,0,0
2017,4,24,69,46,-999,0,0
2017,4,25,59,36,0.1,0,0
2017,4,26,62,27,0.01,0,0
2017,4,27,53,34,0.18,0,0
2017,4,28,53,31,0.01,-999,0
2017,4,29,37,27,0.8,7.5,6
2017,4,30,58,21,0.02,0.3,-999
2017,5,1,64,36,0,0,0
2017,5,2,63,42,-999,0,0
2017,5,3,57,35,0.16,-999,0
2017,5,4,72,32,0,0,0
2017,5,5,78,42,0,0,0
2017,5,6,85,44,0,0,0
2017,5,7,79,54,0.05,0,0
2017,5,8,71,46,0.01,0,0
2017,5,9,62,46,0.65,0,0
2017,5,10,62,49,0.28,0,0
2017,5,11,64,45,0.52,0,0
2017,5,12,78,41,0,0,0
2017,5,13,83,43,0,0,0
2017,5,14,82,46,0,0,0
2017,5,15,77,46,0,0,0
2017,5,16,71,49,0.04,0,0
2017,5,17,73,38,0.01,0,0
2017,5,18,60,31,3.11,5.3,5
2017,5,19,43,32,0.28,0.8,3
2017,5,20,63,30,0,0,-999
2017,5,21,67,35,-999,0,0
2017,5,22,69,38,0.54,0,0
2017,5,23,65,35,0.16,0,0
2017,5,24,82,37,0,0,0
2017,5,25,74,56,-999,0,0
2017,5,26,67,44,0.27,0,0
2017,5,27,65,46,0.18,0,0
2017,5,28,72,37,0,0,0
2017,5,29,68,43,0.02,0,0
2017,5,30,74,42,0,0,0
2017,5,31,80,44,0.01,0,0
2017,6,1,79,47,0.01,0,0
2017,6,2,77,49,0.05,0,0
2017,6,3,77,47,0,0,0
2017,6,4,81,47,0,0,0
2017,6,5,83,50,0,0,0
2017,6,6,78,52,0,0,0
2017,6,7,81,50,0.01,0,0
2017,6,8,81,49,0.02,0,0
2017,6,9,93,50,-999,0,0
2017,6,10,91,61,0,0,0
2017,6,11,81,58,0,0,0
2017,6,12,88,56,0,0,0
2017,6,13,88,50,0,0,0
2017,6,14,86,51,0,0,0
2017,6,15,89,51,0,0,0
2017,6,16,92,54,0,0,0
2017,6,17,90,63,0,0,0
2017,6,18,85,53,0,0,0
2017,6,19,85,52,0,0,0
2017,6,20,97,53,0,0,0
2017,6,21,98,63,0.07,0,0
2017,6,22,93,69,-999,0,0
2017,6,23,75,45,0.23,0,0
2017,6,24,76,44,0,0,0
2017,6,25,73,49,0,0,0
2017,6,26,86,49,0,0,0
2017,6,27,95,52,0,0,0
2017,6,28,91,55,0,0,0
2017,6,29,83,53,0.01,0,0
2017,6,30,77,51,0.05,0,0
2017,7,1,87,49,0,0,0
2017,7,2,91,53,-999,0,0
2017,7,3,90,55,-999,0,0
2017,7,4,92,55,-999,0,0
2017,7,5,96,55,0,0,0
2017,7,6,97,58,0,0,0
2017,7,7,89,61,0.01,0,0
2017,7,8,88,57,-999,0,0
2017,7,9,94,57,0,0,0
2017,7,10,93,60,-999,0,0
2017,7,11,94,61,0,0,0
2017,7,12,85,68,-999,0,0
2017,7,13,87,53,0.02,0,0
2017,7,14,90,57,0,0,0
2017,7,15,86,58,-999,0,0
2017,7,16,87,55,0,0,0
2017,7,17,93,57,-999,0,0
2017,7,18,91,61,-999,0,0
2017,7,19,100,61,0.01,0,0
2017,7,20,89,61,-999,0,0
2017,7,21,95,61,0.21,0,0
2017,7,22,88,57,0.07,0,0
2017,7,23,91,57,0,0,0
2017,7,24,96,57,0,0,0
2017,7,25,92,62,0.02,0,0
2017,7,26,79,61,0.07,0,0
2017,7,27,86,61,0.85,0,0
2017,7,28,89,56,0.03,0,0
2017,7,29,79,64,0.01,0,0
2017,7,30,82,57,0,0,0
2017,7,31,88,54,-999,0,0
2017,8,1,88,56,0,0,0
2017,8,2,85,53,0,0,0
2017,8,3,79,54,0.09,0,0
2017,8,4,85,51,0.12,0,0
2017,8,5,83,59,0.03,0,0
2017,8,6,74,54,0.15,0,0
2017,8,7,69,54,0.77,0,0
2017,8,8,73,51,0.24,0,0
2017,8,9,76,52,-999,0,0
2017,8,10,76,52,0.1,0,0
2017,8,11,77,51,0.01,0,0
2017,8,12,80,52,-999,0,0
2017,8,13,85,55,0.03,0,0
2017,8,14,86,56,-999,0,0
2017,8,15,81,53,0,0,0
2017,8,16,79,52,0.05,0,0
2017,8,17,86,50,0.01,0,0
2017,8,18,87,51,0,0,0
2017,8,19,94,55,-999,0,0
2017,8,20,89,61,-999,0,0
2017,8,21,85,56,0,0,0
2017,8,22,81,52,0,0,0
2017,8,23,87,58,-999,0,0
2017,8,24,86,53,0.01,0,0
2017,8,25,89,54,0,0,0
2017,8,26,91,56,0,0,0
2017,8,27,89,59,0,0,0
2017,8,28,90,53,0,0,0
2017,8,29,91,56,0,0,0
2017,8,30,89,55,0,0,0
2017,8,31,85,55,0.01,0,0
2017,9,1,87,57,0,0,0
2017,9,2,89,55,0,0,0
2017,9,3,97,56,0,0,0
2017,9,4,90,58,0,0,0
2017,9,5,79,56,0,0,0
2017,9,6,80,45,0,0,0
2017,9,7,85,48,0,0,0
2017,9,8,84,52,0,0,0
2017,9,9,89,55,-999,0,0
2017,9,10,89,56,-999,0,0
2017,9,11,85,60,-999,0,0
2017,9,12,90,55,0,0,0
2017,9,13,90,59,0,0,0
2017,9,14,89,59,0,0,0
2017,9,15,83,51,0,0,0
2017,9,16,73,46,0.02,0,0
2017,9,17,72,43,0.01,0,0
2017,9,18,83,47,0,0,0
2017,9,19,87,49,0,0,0
2017,9,20,81,40,0,0,0
2017,9,21,89,43,0,0,0
2017,9,22,77,43,-999,0,0
2017,9,23,65,46,0.64,0,0
2017,9,24,49,44,0.54,0,0
2017,9,25,51,40,0.1,0,0
2017,9,26,59,41,-999,0,0
2017,9,27,56,48,0.08,0,0
2017,9,28,56,47,0.37,0,0
2017,9,29,59,42,0.09,0,0
2017,9,30,66,41,0.07,0,0
2017,10,1,68,50,0.04,0,0
2017,10,2,58,37,1.12,0,0
2017,10,3,55,32,0.04,0,0
2017,10,4,68,37,0,0,0
2017,10,5,69,43,0,0,0
2017,10,6,69,45,0,0,0
2017,10,7,77,48,0,0,0
2017,10,8,71,44,0,0,0
2017,10,9,52,31,0.92,6,4
2017,10,10,56,25,0,0,-999
2017,10,11,70,31,0,0,0
2017,10,12,78,40,0,0,0
2017,10,13,63,34,0,0,0
2017,10,14,61,35,0,0,0
2017,10,15,62,27,0,0,0
2017,10,16,73,36,0,0,0
2017,10,17,79,37,0,0,0
2017,10,18,77,55,0,0,0
2017,10,19,75,38,0,0,0
2017,10,20,78,46,0,0,0
2017,10,21,66,35,0,0,0
2017,10,22,70,32,0,0,0
2017,10,23,64,40,0,0,0
2017,10,24,63,29,0,0,0
2017,10,25,85,42,0,0,0
2017,10,26,71,31,0.11,1.3,1
2017,10,27,44,20,0.03,0.3,0
2017,10,28,60,34,0,0,0
2017,10,29,74,40,0,0,0
2017,10,30,58,28,0.14,0.2,-999
2017,10,31,52,26,0.02,0.2,0
2017,11,1,72,39,0,0,0
2017,11,2,63,34,0,0,0
2017,11,3,58,34,0,0,0
2017,11,4,69,35,0,0,0
2017,11,5,52,35,0.02,0,0
2017,11,6,43,33,-999,0,0
2017,11,7,39,24,0.39,3.2,3
2017,11,8,49,19,0.07,0.9,1
2017,11,9,41,29,0,0,-999
2017,11,10,57,25,0,0,-999
2017,11,11,60,32,0,0,0
2017,11,12,53,26,0,0,0
2017,11,13,72,34,0,0,0
2017,11,14,70,41,0,0,0
2017,11,15,60,26,0,0,0
2017,11,16,74,31,0,0,0
2017,11,17,64,44,0.02,0,0
2017,11,18,51,24,0.04,0,0
2017,11,19,55,25,0,0,0
2017,11,20,70,42,0,0,0
2017,11,21,58,37,0.03,-999,0
2017,11,22,71,31,0,0,0
2017,11,23,72,45,0,0,0
2017,11,24,72,49,-999,0,0
2017,11,25,63,34,0,0,0
2017,11,26,73,35,0,0,0
2017,11,27,76,56,0,0,0
2017,11,28,64,34,-999,0,0
2017,11,29,67,26,0,0,0
2017,11,30,55,26,0,0,0
2017,12,1,64,32,0,0,0
